Group,Item,ItemNumber,depicted.sense.to.distractor.of.depicted.sense,depicted.sense.to.distractor.of.nondepicted.sense,sense1.sense2,nondepicted.sense.to.distractor.of.depicted.sense,nondepicted.sense.to.distractor.of.nondepicted.sense,WordSense,PictureWord,distractor1,distractor2,OneOrTwoPics,PairGrouper,DistWord,Condition,DistWordSound,DistWordSoundGit,TargetPic,ShortPic,Xdim,Ydim,Arbitrary.order
1,bill_sense1,3,1.863814354,-0.399003037,-0.27264891,-0.781123396,-0.044337726,dollar bill,BILL,DOLLAR,RENT,2,7,DOLLAR,d1,dollar.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/dollar.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/bill_sense1.png?raw=true,bill_sense1.png,400,400,25
1,bill_sense2,4,-0.044337726,-0.781123396,-0.27264891,-0.399003037,1.863814354,water bill,BILL,RENT,DOLLAR,2,7,PLASTIC,d1control,plastic.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/plastic.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/bill_sense2.png?raw=true,bill_sense2.png,400,400,26
1,glass_sense1,14,0.52326772,-0.397218647,0.034312907,-0.725667163,1.334985656,material glass,GLASS,PLASTIC,MUG,2,7,MUG,d2,mug.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/mug.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/glass_sense1.png?raw=true,glass_sense1.png,400,400,27
1,glass_sense2,15,1.334985656,-0.725667163,0.034312907,-0.397218647,0.52326772,drinking glass,GLASS,MUG,PLASTIC,2,7,RENT,d2control,rent.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/rent.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/glass_sense2.jpg?raw=true,glass_sense2.jpg,400,400,28
1,date_sense1,10,0.173134957,-0.472704053,-0.256384197,-0.418670177,0.673744913,a date on the calendar,DATE,TIME,MEETING,2,8,TIME,d1,time.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/time.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/date_sense1.png?raw=true,date_sense1.png,400,400,29
1,date_sense2,11,0.673744913,-0.418670177,-0.256384197,-0.472704053,0.173134957,a date in the sense of a meeting with someone,DATE,MEETING,TIME,2,8,BATHTUB,d1control,bathtub.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/bathtub.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/date_sense2.png?raw=true,date_sense2.png,400,400,30
1,shower_sense1,35,0.224562397,-0.246231992,-0.081770255,-0.313781328,1.127223729,the physical stall within which one takes a shower,SHOWER,BATHTUB,BATH,2,8,BATH,d2,bath.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/bath.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/shower_sense1.jpg?raw=true,shower_sense1.jpg,400,400,31
1,shower_sense2,36,1.127223729,-0.313781328,-0.081770255,-0.246231992,0.224562397,the experience of taking a shower,SHOWER,BATH,BATHTUB,2,8,MEETING,d2control,meeting.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/meeting.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/shower_sense2.png?raw=true,shower_sense2.png,400,400,32
1,note_sense1,19,0.326036078,-0.525021587,-0.731850373,-0.773303806,0.154812905,musical note,NOTE,TONE,DRAFT,2,9,TONE,d1,tone.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/tone.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/note_sense1.png?raw=true,note_sense1.png,400,400,33
1,note_sense2,20,0.154812905,-0.773303806,-0.731850373,-0.525021587,0.326036078,written note,NOTE,DRAFT,TONE,2,9,DAUGHTER,d1control,daughter.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/daughter.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/note_sense2.jpg?raw=true,note_sense2.jpg,400,400,34
